Sub-Borough Area,income_diversity_2017,income_diversity_2019,racial_diversity_2017,racial_diversity_2019,bachelor_or_higher_2017,bachelor_or_higher_2019,car_free_commute_2017,car_free_commute_2019,mean_travel_time_2017,mean_travel_time_2019,poverty_rate_2017,poverty_rate_2019,no_highschool_2017,no_highschool_2019,crowding_rate_2017,crowding_rate_2019,pop_above_65_2017,pop_above_65_2019,under_18_2017,under_18_2019,homeownership_2017,homeownership_2019,born_in_ny_rate_2017,born_in_ny_rate_2019,foreclosure_rate_2017,foreclosure_rate_2019,median_income_2017,median_income_2019,Community District,ela_grade4_2017,ela_grade4_2019,math_grade4_2017,math_grade4_2019,park_access_2017,subway_access_2017,income_growth,gentrification_label
Riverdale/Kingsbridge,6.190476190476194,5.882882882882874,0.647067041158334,0.629116318329415,0.387317248644621,0.426046499009794,0.685947236384236,0.684156450671337,49.7662256211054,44.9614711033275,0.184964022054014,0.165015894432349,0.177869421105373,0.189305770326361,0.191554370286643,0.217956965501349,0.191554370286643,0.217956965501349,0.301935964259121,0.263335837716003,0.297165860014892,0.280944778362134,0.520186856466682,0.541848697539103,28,27,64737.76265455088,70899.66172473792,BX 08 - Riverdale/Fieldston,0.4593939393939394,0.5314070351758794,0.3945497630331753,0.5049875311720698,0.9433611260534336,0.6317240451855837,0.09518245329341593,Non-Gentrifying
Soundview/Parkchester,6.122448979591842,6.200000000000014,0.593770515978487,0.570482064737088,0.183027866397552,0.196349608766329,0.693678916618092,0.681212812100317,46.6531334300316,47.3863509981649,0.246541292431913,0.265935353926159,0.275123705970441,0.243087082129591,0.139199361617236,0.148385939138383,0.139199361617236,0.148385939138383,0.396083277283321,0.309355045675354,0.200732039229795,0.224038373407473,0.525234738662056,0.570458508795048,252,170,47972.32977059438,50904.72544973469,BX 09 - Parkchester/Soundview,0.2766839378238342,0.3560389238694905,0.2281234193222053,0.3586168432794199,0.8925593833569294,0.701497037386608,0.06112681400222056,Non-Gentrifying
Throgs Neck/Co-op City,5.79588910133843,5.080000000000001,0.691927313553138,0.680348432993171,0.284462941902388,0.248085958928614,0.50031001984127,0.484696180199401,48.3726025132275,43.6691215689492,0.102200627187865,0.129307830537497,0.148425968495173,0.200777541918096,0.208324882049473,0.239062795920024,0.208324882049473,0.239062795920024,0.277343577515786,0.218603456028779,0.473528502671436,0.466799426136485,0.614886017902024,0.63412786450583,135,124,71376.30327722331,70646.15098287341,BX 10 - Throgs Neck/Co-op City,0.4014989293361884,0.5252416756176155,0.375,0.4574468085106383,0.7506244879199057,0.2721168641713795,-0.010229617685774673,Higher-Income
Chelsea/Clinton/Midtown,7.548821548821564,6.2999999999999945,0.594311804656275,0.599665070652378,0.735944270747628,0.740909058480241,0.888483896307934,0.892785123228069,26.527258444619,27.503551312744,0.137894059618272,0.110993541126388,0.0651637321046569,0.0691032839398717,0.134518382473517,0.163853189072867,0.134518382473517,0.163853189072867,0.0836627726202639,0.0868543859094692,0.235841513792031,0.227938775295221,0.329651372536158,0.357475043337916,44,51,122291.36763741994,139197.076199652,MN 04 - Clinton/Chelsea,0.6674816625916871,0.6658476658476659,0.6414634146341464,0.5995145631067961,0.7891332470892626,0.9438903916264848,0.13824122576137635,Higher-Income
Stuyvesant Town/Turtle Bay,5.856818181818185,3.4750000000000054,0.497794977606707,0.525430612105921,0.806965486252999,0.813370706605865,0.89942803755355,0.85277928269585,26.2081282471972,27.0982771697909,0.0801356736112069,0.0648550850701089,0.0386509881054318,0.0330502447391541,0.177826476208293,0.157702617152247,0.177826476208293,0.157702617152247,0.0992195661525226,0.108219475168076,0.34774165796104,0.326737851939735,0.412623434931919,0.455280774774047,34,129,134765.01278861912,178847.77684387626,MN 06 - Stuyvesant Town/Turtle Bay,0.7985865724381626,0.8350877192982457,0.7482758620689656,0.7889273356401384,0.9086810948183708,0.9499283971036124,0.3271083728860813,Higher-Income
Upper West Side,9.210526315789458,6.653992395437267,0.494147129196827,0.49589290153376,0.796099323464892,0.805342064449423,0.855246730387441,0.854609504963413,33.1620069997339,30.5265675796158,0.0991088425719753,0.0866809528668776,0.0354981227840556,0.0466379458900569,0.200691339905568,0.213031911933304,0.200691339905568,0.213031911933304,0.207678865443085,0.179284738818709,0.401620218386044,0.350770314100376,0.475764480964014,0.442247971416169,28,33,148568.5245493818,158282.15200385384,MN 07 - Upper West Side,0.7195357833655706,0.7875243664717348,0.7346153846153847,0.7567067530064755,0.9933370833696452,0.9908493832246617,0.0653814627555474,Higher-Income
Greenwich Village/Financial District,6.580000000000001,5.000000000000001,0.447624884863382,0.499240189607841,0.809077116476657,0.826593335490133,0.8828391971892,0.884673540962261,25.9913606391683,26.2938656362224,0.0884715481465851,0.0611710910707481,0.0661580475963414,0.0291976706567454,0.142909881730679,0.135240769782511,0.142909881730679,0.135240769782511,0.160962201230658,0.152958011766001,0.306562111931239,0.315578331967564,0.377548965646857,0.371895400999307,46,23,173731.66335468498,187634.99164521648,MN 01 - Financial District,0.7837837837837838,0.8571428571428571,0.8157181571815718,0.8469656992084432,0.98606721116646,1.0,0.08002760131379685,Higher-Income
Lower East Side/Chinatown,8.541353383458693,10.403225806451616,0.713278718116372,0.730600728083139,0.393740456768652,0.38172999809051,0.891792363893472,0.92795307059732,30.7099192788122,30.110346415943,0.272942662058282,0.240435035929307,0.306787840188129,0.288111514225702,0.194772259953891,0.221967593700637,0.194772259953891,0.221967593700637,0.162637024177855,0.123257399737347,0.1166613000322,0.107510859682796,0.394230170104056,0.356409458618544,26,5,47467.48410546701,47810.50529903222,MN 03 - Lower East Side/Chinatown,0.5684210526315789,0.6424050632911392,0.5920826161790017,0.6247379454926625,0.9979087357243036,0.85508916048888,0.0072264456401999275,Non-Gentrifying
Bensonhurst,4.9137931034482705,5.300000000000004,0.66088846576477,0.65868109593303,0.316114190107707,0.329055526335562,0.686741421085254,0.678334425448264,47.3538062771173,47.6235181986061,0.172609978121581,0.145652501669215,0.242671407159538,0.250432038470208,0.142521253339811,0.165218042458507,0.142521253339811,0.165218042458507,0.372879777774329,0.345161682840021,0.367448284424029,0.364889118729657,0.389200874423124,0.389096005006445,66,39,64146.57758826159,66143.15196071382,BK 11 - Bensonhurst,0.5825136612021858,0.600326264274062,0.604012671594509,0.665623369848722,0.459774629165282,0.8651400259810882,0.031125189332276794,Non-Gentrifying
Borough Park,5.777777777777755,5.555555555555542,0.485748935882835,0.452114827346986,0.301096480611899,0.323970285466607,0.657846433064533,0.673359717533853,36.8847319900179,36.8783222752493,0.308085264797937,0.267821263644688,0.226714915040906,0.211806349856123,0.144811539616256,0.118505245324819,0.144811539616256,0.118505245324819,0.411435826069972,0.44007597775591,0.376767010913352,0.336933885621439,0.621857856382543,0.645911253013618,212,142,54398.619365410406,63749.269704203274,BK 12 - Borough Park,0.448207171314741,0.5642570281124498,0.5090322580645161,0.6262230919765166,0.3964674996676857,0.9145287784128672,0.17189131724064524,Gentrifying
